1,「いと」の現代語訳は？,とても,
2,「あまた」の現代語訳は？,たくさん,
3,「げに」の現代語訳は？,なるほど,
4,「なほ」の現代語訳は？,やはり,
5,「やがて」の現代語訳は？,そのまま,
6,「やうやう」の現代語訳は？,だんだん,
7,「え～打消」の現代語訳は？,～できない,
8,「さらに～打消」の現代語訳は？,まったく～ない,
9,「な～そ」の現代語訳は？,～するな,
10,「いかで」の現代語訳は？,どうして,
11,「にほふ」の現代語訳は？,美しく照り映える,
12,「うつろふ」の現代語訳は？,色が変わる,
13,「かしづく」の現代語訳は？,大切に養育する,
14,「ならふ」の現代語訳は？,慣れる,
15,「あそぶ」の現代語訳は？,管絃を楽しむ,
16,「めづ」の現代語訳は？,感嘆する,
17,「かづく［四段］」の現代語訳は？,ほうびをいただく,四段活用だと連用形は「かづきて」で、自分が受け取る感じになり、下二段だと「かづけて」で、人にしてあげる感じなる。
18,「かづく［下二段］」の現代語訳は？,ほうびを与える,四段活用だと連用形は「かづきて」で、自分が受け取る感じになり、下二段だと「かづけて」で、人にしてあげる感じなる。
19,「たのむ［四段］」の現代語訳は？,あてにする,四段活用だと連用形は「たのみて」で、自分がたのむ（あてにする）感じなり、下二段だと「たのめて」で、たのめる（あてにできる）と人を評価する感じになる。
20,「たのむ［下二段］」の現代語訳は？,あてにさせる,四段活用だと連用形は「たのみて」で、自分がたのむ（あてにする）感じなり、下二段だと「たのめて」で、たのめる（あてにできる）と人を評価する感じになる。