1,文13《行き行きて》、駿河の国にいたりぬ。問：《　》の訳は？,どんどん行って, 同じ動詞を重ねて使っている場合はその動作が継続していることを表す。
2,文13行き行きて、駿河の国にいたり《ぬ》。問：《　》の意味は？,完了,完了は「～てしま[う・った]。強意は「きっと」。下に推量の助動詞がある場合のみ、強意になる。例：花咲き《ぬ》べし（花は《きっと》咲くだろう）←この「べし」は推量(～だろう）
3,文14宇津の山にいたりて、《わ》が入らむとする道はいと暗う細きに、蔦・楓は茂り、もの心細く、すずろなる目を見ることと思ふに、修行者会ひたり。問：《　》は誰を指す？,男（主人公）,「思ふ」まで男（主人公）の視点で語られている。
4,文14宇津の山にいたりて、わが入らむとする道はいと暗う細きに、蔦・楓は茂り、もの心細く、すずろなる目を見ることと《思ふ》に、修行者会ひたり。問：《　》の主語は？,男（主人公）,「思ふ」まで男（主人公）の視点で語られている。
5,文14宇津の山にいたりて、わが入ら《む》とする道はいと暗う細きに、蔦・楓は茂り、もの心細く、すずろなる目を見ることと思ふに、修行者会ひたり。問：《　》の意味は？,意志（しよう）,自分の未来なら意志。自分以外の未来なら推量。なお、「思ふ」まで男（主人公）の視点で語られている。
6,文14宇津の山にいたりて、わが入らむとする道は《いと》暗う細きに、蔦・楓は茂り、もの心細く、すずろなる目を見ることと思ふに、修行者会ひたり。問：《　》の訳は？,とても,
7,文14宇津の山にいたりて、わが入らむとする道はいと《暗う》細きに、蔦・楓は茂り、もの心細く、すずろなる目を見ることと思ふに、修行者会ひたり。問：《　》の品詞は？,形容詞,終止形は「暗し」。
8,文14宇津の山にいたりて、わが入らむとする道はいと《暗う》細きに、蔦・楓は茂り、もの心細く、すずろなる目を見ることと思ふに、修行者会ひたり。問：《　》を通常の形に戻せ。,暗く,形容詞の連用形の「く」は「う」に変わってしまう場合がある。このように言いやすい方向に音が変化することを音便(おんびん)と呼び、「う」に変わってしまう場合はウ音便と呼ぶ。ウ音便の例：高《く》→高《う》／うれし《く》→うれし《う》
9,文14宇津の山にいたりて、わが入らむとする道はいと暗う《細き》に、蔦・楓は茂り、もの心細く、すずろなる目を見ることと思ふに、修行者会ひたり。問：《　》の活用の種類は？,ク活用,終止形にすると「細し」になる。「なる」をつけると「細くなる」となり、「し」が消える。
10,文14宇津の山にいたりて、わが入らむとする道はいと暗う《細き》に、蔦・楓は茂り、もの心細く、すずろなる目を見ることと思ふに、修行者会ひたり。問：《　》は何形になっているか。,連体,ク活用の活用表＝く・から|く・かり|し|き・かる|けれ|かれ|
11,文14宇津の山にいたりて、わが入らむとする道はいと暗う細きに、蔦・楓は茂り、もの心細く、《すずろなる》目を見ることと思ふに、修行者会ひたり。問：《　》の語の品詞は？,形容動詞, 「思いがけない」という意味を表す語で、終止形は「すずろなり」になる。
12,文14宇津の山にいたりて、わが入らむとする道はいと暗う細きに、蔦・楓は茂り、もの心細く、すずろなる目を見ることと思ふに、《修行者会ひたり》。問：誰が誰に会ったのか。,修行者が男に会った。,この部分から主語が変わる。
13,文14宇津の山にいたりて、わが入らむとする道はいと暗う細きに、蔦・楓は茂り、もの心細く、すずろなる目を見ることと思ふに、《修行者》会ひたり。問：古文における「修行者」の読みは？,すぎょうざ,
14,文14宇津の山にいたりて、わが入らむとする道はいと暗う細きに、蔦・楓は茂り、もの心細く、すずろなる目を見ることと思ふに、修行者会ひ《たり》。問：《　》の意味は？,完了,●完了（～てしま[う・った]・た）←～の瞬間に注目。●存続（～ている・てある）←～の後の状態に注目。
15,文14宇津の山にいたりて、わが入らむとする道はいと暗う細きに、蔦・楓は茂り、もの心細く、すずろなる目を見ることと思ふに、修行者会ひたり。文15「《かかる》道はいかでかいまする。」問：「かかる」道とはどのような道を指すか。,いと暗う細きに蔦・楓の茂る道,「かかる」は「このような」という意味である。
16,文15「かかる道は《いかで》かいまする。」問：《　》の訳は？,どうして,
17,文15「かかる道はいかで《か》いまする。」問：《　》の意味は？,疑問,「か」は係り結びを起こす「ぞ・なむ・や・か・こそ」の「か」。「ぞ・なむ・や・か」があると文末は連体形、「こそ」があると文末は已然形になる。「ぞ・なむ・こそ」は強意、「や・か」は疑問か反語の意味を付け加える。疑問か反語かは前後の内容から判断する。
18,文15「かかる道はいかで《か》いまする。」問：《　》があると文末は何形になるか？,連体,「か」は係り結びを起こす「ぞ・なむ・や・か・こそ」の「か」。「ぞ・なむ・や・か」があると文末は連体形、「こそ」があると文末は已然形になる。「ぞ・なむ・こそ」は強意、「や・か」は疑問か反語の意味を付け加える。疑問か反語かは前後の内容から判断する。
19,文15「かかる道はいかで《か》いまする。」と言ふを見れば、見し人なりけり。問：《　》によって活用形が終止形ではなくなっている箇所を答えよ。,いまする,「ぞ・なむ・や・か・こそ」を含む文の文末の活用形が連体形や已然形に変わる。
20,文15「かかる道はいかでか《いまする》。」問：《　》の敬語の種類を答えよ。,尊敬語,終止形は「います」。「いらっしゃる」と訳す。①尊敬語：主語を持ち上げて、主語に対する敬意を表す。主語＝敬意の対象。例：《お客様》が話す。→主語を高める→《お客様》が《話される》。②謙譲語：主語を低めて、相手に対する敬意を表す。相手＝敬意の対象。例：私が《お客様》に話す→私を低める→《私が》お客様に《申し上げる》。③丁寧語：丁寧な言葉を使うことで聞き手や読み手への敬意を表す。例「机がある。」→聞き手・読み手に丁寧に→「机があり《ます》。」
21,文15「かかる道はいかでかいまする。」と言ふを《見れ》ば、見し人なりけり。問：《　》の活用形は？,已然,「見れ」の終止形は「見る」で、「ひいきに《み》ゐー《る》」の中にあるから上一段活用。上一段活用の活用パターンは「イ|イ|イる|イる|イれ|イよ」
22,文15「かかる道はいかでかいまする。」と言ふを見れ《ば》、見し人なりけり。問：《　》の訳は？,～すると・～したところ,直前の「みれ」は已然形である。●未然形＋「ば」→もし～ならば　●已然形＋「ば」で、「ば」の前の出来事から「ば」の後の出来事が予想できる場合→～ので　●已然形＋「ば」で、「ば」の前の出来事から「ば」の後の出来事が予想できない場合→～すると・～したところ　※「～と言われた」という出来事からその人が「見し人」（知り合い）かどうかは予想できない。
23,文15「かかる道はいかでかいまする。」と言ふを見れば、見《し》人なりけり。問：《　》の「し」を文法的に説明せよ。,過去の助動詞「き」の連体形,「し」の前の「見」は「見る」の未然形か連用形（《み》|《み》|みる|みる|みれ|みよ）。「し」の後の「人」は名詞。●「する」と訳せる場合→サ変動詞「す」の連用形（せ|《し》|す|する|すれ|せよ）例　うつくしきさま《し》て　●連用形＋「し」＋名詞の場合→過去の助動詞「き」の連体形（せ|○|き|《し》|しか|○）　例　過ぎ去り《し》日々　●削除しても不自然にならない場合→強意の意味を付け加える助詞　※《連用形＋し＋名詞》の「し」がなぜ過去の助動詞「き」と言えるのか→①上が連用形だから、連用形につく助動詞のはず。②下が名詞だから連体形になっているはず。①＋②→連用形につく助動詞で、連体形が「し」になるのは過去の助動詞「き」だけ。
24,文15「かかる道はいかでかいまする。」と言ふを見れば、見し人《なり》けり。問：「なり」の意味は？,断定,「なり」の前の「人」が名詞（体言）であることをふまえて考える。断定(だ・である)の助動詞｢なり｣は体言（＝名詞）や連体形につく。推定（ようだ）の助動詞「なり」はラ変以外には終止形に、ラ変には連体形につく。
25,文16京に、《その人》の御もとにとて、文書きてつく。問：「その人」とは？,妻,
26,文16京に、その人の《御》もとにとて、文書きてつく。問：《　》から「その人」の身分についてどんなことがわかるか。,男より高い身分であることがわかる,
27,文16京に、その人の御もとにとて、文《書きて》つく。問：誰に向けて書いたのか。,その人, 「文」は手紙という意味。
28,文16京に、その人の御もとにとて、文書きて《つく》。問：誰に託したのか。,修行僧,「つく」は「託す」という意味。
29,文16京に、その人の御もとにとて、文書きて《つく》。問：何を託したのか。,文,「つく」は「託す」という意味。
30,文17《駿河》なる宇津の山べのうつつにも夢にも人にあはぬなりけり　問：《　》はどのあたりか？,静岡, 富士山は駿河にある。
31,文17駿河《なる》宇津の山べのうつつにも夢にも人にあはぬなりけり　問：《　》の訳は？,～にある,「なる」の終止形は「なり」で断定の助動詞。断定の助動詞は通常は「～だ・～である」と訳すが、上に地名がある場合は「～にある」という訳になる。
32,文17駿河なる宇津の山べの《うつつ》にも夢にも人にあはぬなりけり 問：《　》の訳は？,現実,
33,文17駿河なる宇津の山べのうつつにも夢にも人に《あは》ぬなりけり 問：《　》は何形か？,未然,終止形は「あふ」で、「ず」をつけると「あはず」になり、「ず」の上がア段になるので、四段活用（ア|イ|ウ|ウ|エ|エ）である。
34,文17駿河なる宇津の山べのうつつにも夢にも人にあは《ぬ》なりけり　問：《　》の意味は？,打消,直前の「あは」が未然形であることをふまえて考える。●完了（てしま[う・った]・た）の「ぬ」の終止形（な|に|《ぬ》|ぬる|ぬれ|ね）。※連用形につく。※下に推量の助動詞があるときは強意[きっと～]の意味になる。●打消（ない）の「ず」の連体形（ず・ざら|ず・ざり|ず|《ぬ》・ざる|ね・ざれ|ざれ）。※未然形につく。
35,文17駿河なる宇津の山べのうつつにも夢にも人にあはぬ《なり》けり　問：《　》の意味は？,断定,「なり」の前の「ぬ」が打消の助動詞「ず」の連体形（ず・ざら|ず・ざり|ず|《ぬ》・ざる|ね・ざれ|ざれ）であることをふまえて考える。【１：基本情報】①断定(だ・である)の助動詞｢なり｣は体言（＝名詞）や連体形につく。②推定（ようだ）の助動詞「なり」はラ変型以外には終止形に、ラ変型には連体形につく。③「ず」にはラ変型以外で活用する部分《ず・ず・ず（終止形）・ぬ（連体形）・ね・ー》とラ変型で活用する部分《ざら・ざり・－・ざる（連体形）・ざれ・ざれ》がある。【結論】推定の「なり」はラ変型ではない場合は終止形につくため、ラ変型ではない連体形「ぬ」につくことはないから「ぬなり」の「なり」は断定の「なり」だということになる。【参考①】昔の人もこの見分け方に苦労したのか、見分けしやすい形に使い方が固定されるようになり、『断定なら必ず「ぬなり」を使い、推定なら必ず「ざるなり」を使うようになった』。【参考②】「ざるなり」は「ざんなり」と発音されるようになり、「ん」を省略して「ざなり」と書かれた。→→しがたって→→「ざなり」とある場合の「なり」は推定、「ぬなり」の「なり」は断定、ということになる。例　家にはあらざなり[読むときは『あらざんなり』と読む]（家にはいないようだ）。家にはあらぬなり。（家にはいないのだ。）
