1,漢文中で二回読む字を何と呼ぶか。漢字４字で答えよ。,再読文字,漢文には二回読む字があります。これを再読文字と言います。
2,下記の場合のＡの次に読むのはどの記号か。<table><tr><td>　</td><td>Ａ</td></tr><tr><td>　</td><td>　</td></tr><tr><td>　</td><td>Ｂ</td></tr><tr><td>二</td><td>　</td></tr><tr><td>　</td><td>Ｃ</td></tr><tr><td>　</td><td>　</td></tr><tr><td>　</td><td>Ｄ</td></tr><tr><td>一</td><td>　</td></tr></table>,Ｃ,矢印が指している字は読まずに次の字へ進みます。ただし、再読文字の場合は矢印が指していても、それを無視して読みます。
3,下記の場合のＡの次に読むのはどの記号か。なお、再は再読文字を表す。また、アルファベットは全角で入力すること。<table><tr><td>　</td><td>Ａ</td></tr><tr><td>　</td><td>　</td></tr><tr><td>　</td><td>再</td></tr><tr><td>二</td><td>　</td></tr><tr><td>　</td><td>Ｃ</td></tr><tr><td>　</td><td>　</td></tr><tr><td>　</td><td>Ｄ</td></tr><tr><td>一</td><td>　</td></tr></table>,再,矢印が指している字は読まずに次の字へ進みます。ただし、再読文字の場合は矢印が指していても、それを無視して読みます。
4,「未だ笑はず」を漢字２字で書きなさい。,未笑,再読文字（二回読む字）は「未・猶・蓋・将・且・当・応・須・宜」だけです。「未」は１回目の読みは「いま《だ》」（※《　》内は送り仮名）、２回目の読みは「ず」です。「未Ａ」で「未だＡず」と読み、「まだＡでない」という意味を表します。
5,「未だ笑はず」の訳は？　アすでに笑った　イまだ笑っていない,イ,再読文字（二回読む字）は「未・猶・蓋・将・且・当・応・須・宜」だけです。「未」は１回目の読みは「いま《だ》」（※《　》内は送り仮名）、２回目の読みは「ず」です。「未Ａ」で「未だＡず」と読み、「まだＡでない」という意味を表します。
6,「猶ほ虎のごとし」を漢字２字で。,猶虎,「猶」は１回目の読みは「な《ほ》」、２回目の読みは「ごと《し》]」です（《  》内は送り仮名）。「猶Ａ」で「猶ほＡがごとし」と読み、「Ａと同じだ・Ａのようだ」という意味を表します。
7,「猶ほ虎のごとし」の訳は？　ア虎のようだ　イ虎のことを言った,ア,「猶」は１回目の読みは「な《ほ》」、２回目の読みは「ごと《し》]」です（《  》内は送り仮名）。「猶Ａ」で「猶ほＡがごとし」と読み、「Ａと同じだ・Ａのようだ」という意味を表します。
8,「蓋ぞ学ばざる」を漢字２字で書きなさい。,蓋学,「蓋」は１回目の読みは「なん《ぞ》」、２回目の読みは「ざ《る》」です（《　》内は送り仮名）。「蓋Ａ」で「蓋ぞＡせざる」と読み、「どうしてＡしないのか。Ａするべきだ」という意味を表します。これは強く主張するための疑問文で、純粋な疑問ではなく、反語です。
9,「蓋ぞ学ばざる」は次のどちら？　ア好奇心から学ばない理由を知りたがっている。イ学べよ、と言いたい。,イ,「蓋」は１回目の読みは「なん《ぞ》」、２回目の読みは「ざ《る》」です（《　》内は送り仮名）。「蓋Ａ」で「蓋ぞＡせざる」と読み、「どうしてＡしないのか。Ａするべきだ」という意味を表します。これは強く主張するための疑問文で、純粋な疑問ではなく、反語です。
10,「将に学ばんとす」を漢字２字で書きなさい。,将学,「将」と「且」は１回目の読みは「まさ《に》」、２回目の読みは「す」です（《　》内は送り仮名）。「将Ａ」なら「将にＡせんとす」、「且Ａ」なら「且にＡせんとす」と読み、「Ａしようとする」という意味を表します。
11,「将に学ばんとす」の訳は？　ア学ぶべきだ。イ学ぼうとしている。,イ,「将」と「且」は１回目の読みは「まさ《に》」、２回目の読みは「す」です（《　》内は送り仮名）。「将Ａ」なら「将にＡせんとす」、「且Ａ」なら「且にＡせんとす」と読み、「Ａしようとする」という意味を表します。
12,「当に学ぶべし」を漢字２字で書きなさい。,当学,「当」と「応」は１回目の読みは「まさ《に》」、２回目の読みは「べ《し》」です（《  》内は送り仮名）。「当Ａ」なら「当にＡすべし」、「応Ａ」なら「応にＡすべし」と読み、「Ａすべきだ」という意味を表す場合と「Ａだろう」という意味を表す場合があります。
13,「当に学ぶべし」の訳は？　ア学ぶべきだ。イ学ぼうとしている。ウ学ぶだろう。,イ,「当」と「応」は１回目の読みは「まさ《に》」、２回目の読みは「べ《し》」です（《  》内は送り仮名）。「当Ａ」なら「当にＡすべし」、「応Ａ」なら「応にＡすべし」と読み、「Ａすべきだ」という意味を表す場合と「Ａだろう」という意味を表す場合があります。
14,「須らく学ぶべし」を漢字２字で書きなさい。,須学,「須」は１回目の読みは「すべか《らく》」、２回目の読みは「べ《し》」です（《  》内は送り仮名）。「須Ａ」なら「須らくＡすべし」と読み、「Ａすべきだ」という意味を表します。
15,「須らく学ぶべし」の訳は？　ア学ぶべきだ。イ学ぼうとしている。ウ学ぶだろう。,ア,「須」は１回目の読みは「すべか《らく》」、２回目の読みは「べ《し》」です（《  》内は送り仮名）。「須Ａ」なら「須らくＡすべし」と読み、「Ａすべきだ」という意味を表します。
16,「宜しく学ぶべし」を漢字２字で書きなさい。,宜学,「宜」は１回目の読みは「よろ《しく》」、２回目の読みは「べ《し》」です（《  》内は送り仮名）。「宜Ａ」なら「宜しくＡすべし」と読み、「Ａした方がよい」という意味を表します。
17,「宜しく学ぶべし」の訳は？　ア学ぶべきだ。イ学ぶ方がよい。ウ学ぶだろう。,イ,「宜」は１回目の読みは「よろ《しく》」、２回目の読みは「べ《し》」です（《  》内は送り仮名）。「宜Ａ」なら「宜しくＡすべし」と読み、「Ａした方がよい」という意味を表します。